player_AVG,player_OBP,player_SLG,player_PA,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip,is_hit,stand_R,p_throws_R,description_encoded
0.285,0.342,0.492,735,6.23,1.615,6.0,1.93,5,15,55,43.1,0.338,1,0,0,0
0.285,0.342,0.492,735,3.34,1.429,4.1,1.68,2,19,81,70.0,0.319,0,0,0,0
0.285,0.342,0.492,735,3.4,1.186,9.0,3.17,12,35,97,111.1,0.285,0,0,1,0
0.285,0.342,0.492,735,2.9,1.178,9.7,3.13,8,31,75,90.0,0.297,1,0,1,0
0.285,0.342,0.492,735,2.9,1.178,9.7,3.13,8,31,75,90.0,0.297,0,0,1,1
0.285,0.342,0.492,735,4.5,1.328,13.3,3.91,8,22,55,58.0,0.343,1,0,1,0
0.285,0.342,0.492,735,2.9,1.178,9.7,3.13,8,31,75,90.0,0.297,1,0,1,0
0.285,0.342,0.492,735,3.77,1.153,8.4,4.15,24,39,162,174.1,0.288,0,0,0,0
0.285,0.342,0.492,735,3.77,1.153,8.4,4.15,24,39,162,174.1,0.288,0,0,0,0
0.285,0.342,0.492,735,3.34,1.429,4.1,1.68,2,19,81,70.0,0.319,0,0,0,2
0.285,0.342,0.492,735,2.84,1.249,9.4,3.04,4,24,63,69.2,0.311,0,0,1,0
0.285,0.342,0.492,735,3.77,1.153,8.4,4.15,24,39,162,174.1,0.288,0,0,0,2
0.285,0.342,0.492,735,4.1,1.242,8.5,2.41,18,51,110,129.2,0.258,0,0,1,0
0.285,0.342,0.492,735,4.1,1.242,8.5,2.41,18,51,110,129.2,0.258,0,0,1,0
0.285,0.342,0.492,735,4.1,1.242,8.5,2.41,18,51,110,129.2,0.258,1,0,1,0
0.285,0.342,0.492,735,4.33,1.21,10.4,3.33,12,21,52,60.1,0.258,0,0,1,0
0.285,0.342,0.492,735,4.1,1.242,8.5,2.41,18,51,110,129.2,0.258,0,0,1,0
0.285,0.342,0.492,735,3.7,1.294,7.3,2.51,17,43,130,133.2,0.29,0,0,1,0
0.285,0.342,0.492,735,3.7,1.294,7.3,2.51,17,43,130,133.2,0.29,0,0,1,0
0.285,0.342,0.492,735,4.67,1.426,7.8,1.68,0,28,49,54.0,0.306,1,0,0,0
0.285,0.342,0.492,735,4.33,1.21,10.4,3.33,12,21,52,60.1,0.258,0,0,1,0
0.285,0.342,0.492,735,3.7,1.294,7.3,2.51,17,43,130,133.2,0.29,0,0,1,2
0.285,0.342,0.492,735,5.2,1.431,7.8,2.03,12,34,80,79.2,0.291,0,0,0,2
0.285,0.342,0.492,735,5.2,1.431,7.8,2.03,12,34,80,79.2,0.291,0,0,0,0
0.285,0.342,0.492,735,5.33,1.357,12.6,2.35,7,31,40,52.1,0.287,0,0,1,2
