mlbID,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip
668984,8.68,1.821,6.8,3.5,2,2,15,9.1,0.371
605335,9.95,2.053,7.1,2.5,3,2,11,6.1,0.364
683004,8.83,1.71,7.8,1.82,7,17,44,35.2,0.327
643410,4.5,1.328,13.3,3.91,8,22,55,58.0,0.343
608678,6.63,1.79,8.1,1.21,4,14,20,19.0,0.296
669461,4.4,1.267,8.0,2.71,11,28,81,86.0,0.293
641793,3.63,1.247,8.1,4.55,22,31,164,156.1,0.312
663893,3.74,1.314,7.1,1.89,7,19,41,45.2,0.264
681432,3.46,1.269,9.7,1.56,1,18,15,26.0,0.241
594902,3.78,1.247,7.1,2.4,23,50,140,152.1,0.266
642528,0.0,2.0,6.8,3.0,0,1,7,4.0,0.438
666157,4.76,1.197,9.5,3.3,13,37,101,115.1,0.29
679845,0.0,1.0,0.0,,0,0,1,1.0,0.333
656657,18.0,3.0,18.0,,1,0,6,2.0,0.714
669674,3.09,1.2,8.9,2.19,5,21,35,46.2,0.252
682052,5.23,1.161,7.0,1.14,2,7,5,10.1,0.111
605347,2.89,1.226,8.5,2.63,6,19,46,53.0,0.286
641154,4.08,1.192,9.6,4.83,26,41,180,185.1,0.311
625643,1.99,1.106,9.8,3.52,10,42,108,135.2,0.288
547179,3.32,1.244,6.8,1.64,17,61,104,132.2,0.239
702795,0.0,1.286,0.0,0.0,0,1,2,2.1,0.222
663992,4.46,1.311,6.8,2.36,3,11,34,34.1,0.298
695076,1.17,1.272,6.5,1.57,0,14,25,30.2,0.272
687922,10.8,2.229,7.7,1.11,1,9,17,11.2,0.4
664192,5.23,1.548,6.1,0.88,1,8,8,10.1,0.241
607625,3.0,1.097,7.9,3.57,17,53,184,216.0,0.276
666200,5.0,1.245,7.8,2.64,9,22,61,66.2,0.286
543475,0.0,0.8,5.4,1.5,0,2,2,5.0,0.143
663738,3.32,0.992,8.1,2.79,6,14,29,43.1,0.207
458681,3.84,1.338,8.4,2.48,16,44,113,117.1,0.288
656671,2.57,0.857,9.0,3.5,1,2,4,7.0,0.177
680744,4.94,1.563,6.8,1.64,2,11,26,23.2,0.32
628317,6.09,1.38,7.7,3.1,22,31,124,112.1,0.309
641816,4.97,1.421,7.1,2.5,1,4,14,12.2,0.325
571912,14.73,1.636,0.0,,1,0,6,3.2,0.294
687424,5.68,1.474,5.2,1.57,1,7,21,19.0,0.318
640455,3.4,1.077,9.1,2.91,23,69,145,198.2,0.243
666159,4.88,1.554,7.5,1.92,3,12,31,27.2,0.329
666201,3.7,1.027,9.6,3.25,5,8,17,24.1,0.2
573009,3.92,1.173,8.0,2.94,1,18,52,59.2,0.298
676760,3.86,1.2,9.6,2.5,4,10,18,23.1,0.25
608566,6.75,2.25,6.8,0.75,1,4,5,4.0,0.333
679525,4.53,1.256,8.6,3.15,19,39,123,129.0,0.293
665896,2.33,1.241,6.5,1.4,1,10,14,19.1,0.241
628708,6.92,1.885,8.0,1.53,5,15,34,26.0,0.345
455119,3.45,1.128,10.2,16.67,5,3,47,44.1,0.359
663436,4.32,1.46,8.5,2.04,5,23,50,50.0,0.321
679885,2.48,1.307,11.3,2.53,2,36,59,72.2,0.324
607259,3.1,1.026,7.3,6.44,13,18,128,142.1,0.279
661527,3.59,1.272,6.2,2.0,7,18,49,52.2,0.269
664208,3.97,1.206,8.3,2.33,9,27,55,68.0,0.26
673513,3.75,1.139,10.0,2.65,8,26,45,62.1,0.245
805673,6.69,1.646,10.3,3.91,11,11,51,37.2,0.364
676755,5.06,1.125,10.1,1.2,0,5,1,5.1,0.091
571927,5.08,1.444,6.7,2.2,7,15,49,44.1,0.318
554431,9.9,1.9,9.0,3.33,3,3,16,10.0,0.406
641835,6.23,1.615,6.0,1.93,5,15,55,43.1,0.338
800049,7.49,1.812,5.9,1.05,6,21,40,33.2,0.318
663704,4.92,1.447,7.8,3.5,8,14,68,56.2,0.349
543510,18.0,2.0,0.0,,1,0,2,1.0,0.25
670766,6.21,1.619,6.0,1.87,9,15,53,42.0,0.321
694646,6.75,1.75,6.8,1.5,1,2,5,4.0,0.333
686790,0.0,0.333,3.0,1.0,0,1,0,3.0,0.0
519008,3.81,1.235,6.2,2.29,4,17,53,56.2,0.288
543518,7.44,1.684,6.9,1.19,6,21,34,32.2,0.289
700241,1.96,0.783,7.0,9.0,1,2,16,23.0,0.234
663474,5.11,1.56,8.8,1.51,19,49,69,75.2,0.255
656716,9.0,1.0,0.0,0.0,1,1,1,2.0,0.0
669111,1.5,1.0,9.8,2.6,1,5,7,12.0,0.222
607644,2.61,0.871,7.0,8.0,2,2,16,20.2,0.237
683232,5.7,1.417,11.7,3.25,7,24,61,60.0,0.351
682989,11.81,2.438,8.4,0.83,1,6,7,5.1,0.4
665622,5.18,1.575,7.2,1.6,4,20,43,40.0,0.317
703231,0.0,2.0,0.0,0.0,0,1,1,1.0,0.333
656730,2.59,0.966,10.0,3.86,4,14,33,48.2,0.25
656731,4.08,1.324,10.6,2.74,8,34,71,79.1,0.307
