batter,pitcher,stand,p_throws,events,description,player_AVG,player_OBP,player_SLG,player_PA,mlbID,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip
680776,671737,L,R,,ball,0.285,0.342,0.492,735,671737,4.11,1.225,10.0,3.28,22,47,122,138.0,0.287
680776,592332,L,R,double,hit_into_play,0.285,0.342,0.492,735,592332,3.83,1.221,8.1,2.89,20,56,165,181.0,0.282
680776,592332,L,R,field_out,hit_into_play,0.285,0.342,0.492,735,592332,3.83,1.221,8.1,2.89,20,56,165,181.0,0.282
680776,592332,L,R,,ball,0.285,0.342,0.492,735,592332,3.83,1.221,8.1,2.89,20,56,165,181.0,0.282
680776,663893,L,L,single,hit_into_play,0.285,0.342,0.492,735,663893,3.74,1.314,7.1,1.89,7,19,41,45.2,0.264
680776,663893,L,L,,called_strike,0.285,0.342,0.492,735,663893,3.74,1.314,7.1,1.89,7,19,41,45.2,0.264
680776,663893,L,L,,ball,0.285,0.342,0.492,735,663893,3.74,1.314,7.1,1.89,7,19,41,45.2,0.264
680776,663893,L,L,,ball,0.285,0.342,0.492,735,663893,3.74,1.314,7.1,1.89,7,19,41,45.2,0.264
680776,592332,L,R,field_out,hit_into_play,0.285,0.342,0.492,735,592332,3.83,1.221,8.1,2.89,20,56,165,181.0,0.282
680776,592332,L,R,,called_strike,0.285,0.342,0.492,735,592332,3.83,1.221,8.1,2.89,20,56,165,181.0,0.282
680776,592332,L,R,,ball,0.285,0.342,0.492,735,592332,3.83,1.221,8.1,2.89,20,56,165,181.0,0.282
680776,592332,L,R,,called_strike,0.285,0.342,0.492,735,592332,3.83,1.221,8.1,2.89,20,56,165,181.0,0.282
680776,670102,L,R,single,hit_into_play,0.285,0.342,0.492,735,670102,3.3,0.926,8.0,4.18,17,22,74,103.2,0.212
680776,670102,L,R,,foul_tip,0.285,0.342,0.492,735,670102,3.3,0.926,8.0,4.18,17,22,74,103.2,0.212
680776,670102,L,R,,called_strike,0.285,0.342,0.492,735,670102,3.3,0.926,8.0,4.18,17,22,74,103.2,0.212
680776,670102,L,R,,ball,0.285,0.342,0.492,735,670102,3.3,0.926,8.0,4.18,17,22,74,103.2,0.212
680776,621114,L,R,strikeout,swinging_strike_blocked,0.285,0.342,0.492,735,621114,4.31,1.277,12.6,4.0,4,11,29,31.1,0.333
680776,621114,L,R,,swinging_strike_blocked,0.285,0.342,0.492,735,621114,4.31,1.277,12.6,4.0,4,11,29,31.1,0.333
680776,621114,L,R,,ball,0.285,0.342,0.492,735,621114,4.31,1.277,12.6,4.0,4,11,29,31.1,0.333
680776,621114,L,R,,called_strike,0.285,0.342,0.492,735,621114,4.31,1.277,12.6,4.0,4,11,29,31.1,0.333
680776,643338,L,R,field_out,hit_into_play,0.285,0.342,0.492,735,643338,3.27,1.032,7.4,3.07,8,14,40,52.1,0.23
680776,643338,L,R,,foul,0.285,0.342,0.492,735,643338,3.27,1.032,7.4,3.07,8,14,40,52.1,0.23
680776,643338,L,R,,ball,0.285,0.342,0.492,735,643338,3.27,1.032,7.4,3.07,8,14,40,52.1,0.23
680776,687922,L,L,field_out,hit_into_play,0.285,0.342,0.492,735,687922,10.8,2.229,7.7,1.11,1,9,17,11.2,0.4
680776,670102,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735,670102,3.3,0.926,8.0,4.18,17,22,74,103.2,0.212
680776,687922,L,L,,ball,0.285,0.342,0.492,735,687922,10.8,2.229,7.7,1.11,1,9,17,11.2,0.4
680776,687922,L,L,,ball,0.285,0.342,0.492,735,687922,10.8,2.229,7.7,1.11,1,9,17,11.2,0.4
680776,670102,L,R,,ball,0.285,0.342,0.492,735,670102,3.3,0.926,8.0,4.18,17,22,74,103.2,0.212
680776,670102,L,R,,foul,0.285,0.342,0.492,735,670102,3.3,0.926,8.0,4.18,17,22,74,103.2,0.212
680776,687922,L,L,,ball,0.285,0.342,0.492,735,687922,10.8,2.229,7.7,1.11,1,9,17,11.2,0.4
680776,670102,L,R,,called_strike,0.285,0.342,0.492,735,670102,3.3,0.926,8.0,4.18,17,22,74,103.2,0.212
680776,687922,L,L,,called_strike,0.285,0.342,0.492,735,687922,10.8,2.229,7.7,1.11,1,9,17,11.2,0.4
680776,605135,L,R,double,hit_into_play,0.285,0.342,0.492,735,605135,4.16,1.462,8.8,2.4,18,70,180,171.0,0.335
680776,605135,L,R,,foul,0.285,0.342,0.492,735,605135,4.16,1.462,8.8,2.4,18,70,180,171.0,0.335
680776,605135,L,R,,called_strike,0.285,0.342,0.492,735,605135,4.16,1.462,8.8,2.4,18,70,180,171.0,0.335
680776,605135,L,R,field_out,hit_into_play,0.285,0.342,0.492,735,605135,4.16,1.462,8.8,2.4,18,70,180,171.0,0.335
680776,622253,L,R,truncated_pa,called_strike,0.285,0.342,0.492,735,622253,4.66,1.473,6.6,2.25,2,12,42,36.2,0.336
680776,667297,L,R,triple,hit_into_play,0.285,0.342,0.492,735,667297,4.09,1.227,7.8,2.11,2,9,18,22.0,0.262
680776,667297,L,R,,ball,0.285,0.342,0.492,735,667297,4.09,1.227,7.8,2.11,2,9,18,22.0,0.262
680776,667297,L,R,,called_strike,0.285,0.342,0.492,735,667297,4.09,1.227,7.8,2.11,2,9,18,22.0,0.262
680776,667297,L,R,,ball,0.285,0.342,0.492,735,667297,4.09,1.227,7.8,2.11,2,9,18,22.0,0.262
680776,667297,L,R,,swinging_strike,0.285,0.342,0.492,735,667297,4.09,1.227,7.8,2.11,2,9,18,22.0,0.262
680776,667297,L,R,,ball,0.285,0.342,0.492,735,667297,4.09,1.227,7.8,2.11,2,9,18,22.0,0.262
680776,605135,L,R,strikeout,foul_tip,0.285,0.342,0.492,735,605135,4.16,1.462,8.8,2.4,18,70,180,171.0,0.335
680776,605135,L,R,,ball,0.285,0.342,0.492,735,605135,4.16,1.462,8.8,2.4,18,70,180,171.0,0.335
680776,657024,L,R,field_out,hit_into_play,0.285,0.342,0.492,735,657024,4.93,1.278,8.7,2.64,10,14,35,38.1,0.245
680776,605135,L,R,,ball,0.285,0.342,0.492,735,605135,4.16,1.462,8.8,2.4,18,70,180,171.0,0.335
680776,657024,L,R,,foul,0.285,0.342,0.492,735,657024,4.93,1.278,8.7,2.64,10,14,35,38.1,0.245
680776,657024,L,R,,swinging_strike,0.285,0.342,0.492,735,657024,4.93,1.278,8.7,2.64,10,14,35,38.1,0.245
680776,605135,L,R,,foul,0.285,0.342,0.492,735,605135,4.16,1.462,8.8,2.4,18,70,180,171.0,0.335
680776,605135,L,R,,called_strike,0.285,0.342,0.492,735,605135,4.16,1.462,8.8,2.4,18,70,180,171.0,0.335
680776,657024,L,R,,ball,0.285,0.342,0.492,735,657024,4.93,1.278,8.7,2.64,10,14,35,38.1,0.245
680776,641154,L,R,single,hit_into_play,0.285,0.342,0.492,735,641154,4.08,1.192,9.6,4.83,26,41,180,185.1,0.311
680776,641154,L,R,,called_strike,0.285,0.342,0.492,735,641154,4.08,1.192,9.6,4.83,26,41,180,185.1,0.311
680776,805673,L,R,field_out,hit_into_play,0.285,0.342,0.492,735,805673,6.69,1.646,10.3,3.91,11,11,51,37.2,0.364
680776,805673,L,R,,ball,0.285,0.342,0.492,735,805673,6.69,1.646,10.3,3.91,11,11,51,37.2,0.364
680776,805673,L,R,,called_strike,0.285,0.342,0.492,735,805673,6.69,1.646,10.3,3.91,11,11,51,37.2,0.364
680776,641154,L,R,field_out,hit_into_play,0.285,0.342,0.492,735,641154,4.08,1.192,9.6,4.83,26,41,180,185.1,0.311
